City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ojai,34.4481,-119.2429,20.72,83,21,3.68,US,1696012716
1,bredasdorp,-34.5322,20.0403,14.8,87,100,2.57,ZA,1696012717
2,afaahiti,-17.75,-149.2833,25.93,84,45,8.86,PF,1696012717
3,salinopolis,-0.6136,-47.3561,29.24,66,28,5.74,BR,1696012717
4,port macquarie,-31.4333,152.9167,11.05,89,1,1.53,AU,1696012718
5,udachny,66.4167,112.4,0.25,92,100,5.97,RU,1696012718
6,georgetown,5.4112,100.3354,28.3,89,40,2.57,MY,1696012180
7,kindu,-2.95,25.95,22.68,78,100,0.81,CD,1696012719
8,puerto ayora,-0.7393,-90.3518,27.98,83,48,3.58,EC,1696012719
9,punta arenas,-53.15,-70.9167,10.06,50,0,4.63,CL,1696012720
10,grytviken,-54.2811,-36.5092,-1.16,82,17,4.39,GS,1696012720
11,pyin oo lwin,22.0333,96.4667,18.89,99,87,1.1,MM,1696012720
12,oranjemund,-28.55,16.4333,14.57,84,100,1.98,NA,1696012720
13,ilulissat,69.2167,-51.1,1.01,69,75,1.54,GL,1696012721
14,papatowai,-46.5619,169.4708,4.27,79,100,9.79,NZ,1696012721
15,tiksi,71.6872,128.8694,-2.39,89,100,6.48,RU,1696012721
16,boende,-0.2167,20.8667,23.51,86,100,1.43,CD,1696012722
17,waitangi,-43.9535,-176.5597,10.46,94,100,2.68,NZ,1696012723
18,port-aux-francais,-49.35,70.2167,1.11,72,10,19.89,TF,1696012523
19,morondava,-20.2833,44.2833,25.45,84,4,5.22,MG,1696012724
20,kayar,14.9192,-17.1211,30.53,70,32,3.78,SN,1696012724
21,umba,66.6871,34.3429,10.52,98,100,3.58,RU,1696012724
22,kalmunai,7.4167,81.8167,26.57,77,99,7.01,LK,1696012725
23,hasaki,35.7333,140.8333,23.22,75,2,5.31,JP,1696012725
24,acarau,-2.8856,-40.12,29.08,63,100,8.84,BR,1696012726
25,chonchi,-42.6128,-73.8092,12.56,51,5,1.9,CL,1696012726
26,zainsk,55.3195,52.0694,12.55,80,82,3.63,RU,1696012726
27,sumbawa besar,-8.5,117.4333,21.43,71,100,2.1,ID,1696012727
28,nemuro,43.3236,145.575,14.91,76,99,3.24,JP,1696012727
29,hobyo,5.3505,48.5268,26.29,87,61,9.69,SO,1696012727
30,pauini,-7.7136,-66.9764,34.18,45,97,0.3,BR,1696012728
31,remire-montjoly,4.9167,-52.2667,33.02,58,40,6.17,GF,1696012728
32,alice town,25.7167,-79.3,28.86,74,31,1.14,BS,1696012728
33,albany,42.6001,-73.9662,16.25,92,100,0.45,US,1696012729
34,qadirpur ran,30.2924,71.6712,26.94,25,0,3.99,PK,1696012729
35,blackmans bay,-43.0167,147.3167,6.96,91,95,2.53,AU,1696012751
36,lamarque,-39.423,-65.7021,16.19,25,0,2.62,AR,1696012751
37,adamstown,-25.066,-130.1015,20.65,81,65,10.16,PN,1696012751
38,reyes,-14.3167,-67.3833,35.98,38,98,3.09,BO,1696012752
39,utrik,11.2278,169.8474,28.74,78,97,7.08,MH,1696012753
40,invercargill,-46.4,168.35,4.45,82,84,4.47,NZ,1696012753
41,yeosu,34.7546,127.6599,20.92,72,100,2.07,KR,1696012754
42,laguna,38.421,-121.4238,25.69,49,0,4.12,US,1696012754
43,gurun,5.8172,100.4738,25.03,91,100,0.91,MY,1696012755
44,bilibino,68.0546,166.4372,-3.14,95,100,5.58,RU,1696012755
45,lobujya,27.95,86.8167,-0.81,87,100,1.14,NP,1696012756
46,nova xavantina,-14.6667,-52.35,37.88,29,95,2.09,BR,1696012756
47,baruun-urt,46.6806,113.2792,5.29,71,16,2.79,MN,1696012757
48,chibougamau,49.9168,-74.3659,20.79,43,0,3.09,CA,1696012757
49,fale old settlement,-9.3852,-171.2468,28.11,76,13,5.8,TK,1696012757
50,hermanus,-34.4187,19.2345,15.97,83,99,6.65,ZA,1696012758
51,isafjordur,66.0755,-23.124,6.02,61,75,3.6,IS,1696012758
52,kruisfontein,-34.0033,24.7314,18.82,59,93,2.5,ZA,1696012758
53,thunder bay,48.4001,-89.3168,16.99,88,100,2.57,CA,1696012759
54,yellowknife,62.456,-114.3525,6.9,85,75,3.09,CA,1696012759
55,cabo san lucas,22.8909,-109.9124,37.01,55,0,0.0,MX,1696012759
56,taro,-8.3862,115.28,22.0,88,93,0.45,ID,1696012760
57,berezovyy,51.6667,135.7,7.81,95,100,1.06,RU,1696012760
58,tahoua,14.8888,5.2692,32.99,52,0,3.09,NE,1696012760
59,atafu village,-8.5421,-172.5159,28.67,71,4,4.92,TK,1696012761
60,uturoa,-16.7333,-151.4333,25.59,78,97,8.95,PF,1696012761
61,oranjestad,12.524,-70.027,29.27,78,100,7.28,AW,1696012761
62,badger,64.8,-147.5333,2.62,68,0,1.54,US,1696012762
63,bethel,41.3712,-73.414,14.64,89,100,6.17,US,1696012762
64,longyearbyen,78.2186,15.6401,0.91,69,100,4.12,SJ,1696012762
65,avarua,-21.2078,-159.775,25.03,88,75,6.69,CK,1696012763
66,nantucket,41.2835,-70.0995,17.78,94,75,5.66,US,1696012601
67,tynda,55.1667,124.7167,2.01,88,97,2.09,RU,1696012764
68,lata,40.1629,-8.3327,22.14,64,6,0.82,PT,1696012764
69,faya-largeau,17.9257,19.1043,32.15,39,98,1.37,TD,1696012765
70,fort bragg,35.139,-79.006,22.75,78,100,3.09,US,1696012765
71,bouarfa,32.53,-1.95,23.55,18,5,1.27,MA,1696012765
72,enewetak,11.3474,162.3373,28.83,77,70,5.61,MH,1696012766
73,iqaluit,63.7506,-68.5145,1.85,87,100,7.72,CA,1696012766
74,santo domingo,18.5001,-69.9886,33.35,76,40,3.09,DO,1696012262
75,hamilton,39.1834,-84.5333,25.7,80,100,3.09,US,1696012058
76,beterou,9.1992,2.2586,25.14,82,100,2.19,BJ,1696012767
77,lokhvytsya,50.3678,33.2602,16.8,46,1,2.07,UA,1696012767
78,geraldton,-28.7667,114.6,10.23,93,40,0.0,AU,1696012768
79,hawaiian paradise park,19.5933,-154.9731,28.26,86,20,2.57,US,1696012768
80,parun,35.4207,70.9221,6.18,67,97,0.32,AF,1696012768
81,nova vicosa,-17.8919,-39.3719,24.4,70,82,6.05,BR,1696012769
82,cockburn town,21.4612,-71.1419,31.98,62,40,5.14,TC,1696012769
83,prakhon chai,14.6059,103.1208,24.38,91,100,2.27,TH,1696012770
84,puerto aysen,-45.4,-72.7,12.54,86,100,0.81,CL,1696012770
85,iskateley,67.6803,53.1512,1.92,78,100,6.28,RU,1696012771
86,lihue,21.9789,-159.3672,26.87,78,75,4.12,US,1696012771
87,edinburgh of the seven seas,-37.0676,-12.3116,10.69,81,100,15.66,SH,1696012771
88,puerto natales,-51.7236,-72.4875,13.25,33,75,7.72,CL,1696012772
89,trinity beach,-16.7888,145.6968,21.14,83,75,5.14,AU,1696012772
90,dudinka,69.4058,86.1778,-2.43,93,94,8.74,RU,1696012772
91,albesti,47.7,27.0667,19.32,37,0,1.98,RO,1696012773
92,taltal,-25.4,-70.4833,17.91,70,20,3.86,CL,1696012773
93,lubuklinggau,-3.3,102.8667,23.18,72,47,0.9,ID,1696012773
94,kapuvar,47.5922,17.0289,16.18,53,4,3.7,HU,1696012774
95,college,64.8569,-147.8028,2.67,70,75,1.54,US,1696012774
96,benguela,-12.5763,13.4055,22.83,81,73,2.9,AO,1696012774
97,cidreira,-30.1811,-50.2056,18.6,82,98,8.62,BR,1696012775
98,margaret river,-33.95,115.0667,14.39,70,0,6.14,AU,1696012796
99,kayyerkan,69.3786,87.7439,-2.61,100,99,10.31,RU,1696012797
100,kushiro,42.975,144.3747,13.18,85,11,1.28,JP,1696012797
101,aquin,18.2833,-73.4,30.39,70,41,1.31,HT,1696012798
102,timimoun,29.2639,0.231,31.21,22,0,8.23,DZ,1696012798
103,flying fish cove,-10.4217,105.6791,23.82,94,100,4.63,CX,1696012799
104,saipan,15.1355,145.701,27.39,83,20,2.57,MP,1696012821
105,grand falls-windsor,48.9332,-55.6649,21.95,52,100,1.34,CA,1696012653
106,stanley,54.868,-1.6985,13.21,81,20,4.63,GB,1696012822
107,jamestown,42.097,-79.2353,20.85,70,75,0.45,US,1696012822
108,tura,25.5198,90.2201,24.24,93,100,1.4,IN,1696012821
109,holualoa,19.6228,-155.9522,25.91,71,0,3.09,US,1696012824
110,kuanda,56.3161,116.0806,3.69,78,35,0.23,RU,1696012824
111,san luis de la loma,17.2706,-100.8939,31.98,67,26,3.99,MX,1696012824
112,st. john's,47.5649,-52.7093,19.04,59,75,7.2,CA,1696012791
113,laojunmiao,39.8333,97.7333,9.08,33,0,4.31,CN,1696012825
114,belgioioso,45.1586,9.3138,24.83,59,0,0.47,IT,1696012826
115,birjand,32.8663,59.2211,13.26,19,0,2.06,IR,1696012826
116,keflavik,64.0049,-22.5624,9.95,76,75,3.09,IS,1696012826
117,boa vista,2.8197,-60.6733,35.99,41,40,2.57,BR,1696012827
118,san juan bautista,-14.0108,-75.7358,30.23,40,11,3.86,PE,1696012827
119,nguigmi,14.2495,13.1092,28.53,54,92,7.01,NE,1696012827
120,wailua homesteads,22.0669,-159.378,26.53,78,75,4.12,US,1696012828
121,dakhla,23.6848,-15.958,25.01,65,79,8.75,EH,1696012828
122,tosontsengel,48.7567,98.2839,-2.85,83,44,0.25,MN,1696012828
123,fort st. john,56.2499,-120.8529,6.94,100,100,1.54,CA,1696012729
124,anadyr,64.75,177.4833,5.28,93,0,5.0,RU,1696012829
125,ust-nera,64.5667,143.2,-6.15,93,18,0.55,RU,1696012830
126,pisco,-13.7,-76.2167,20.03,77,20,4.63,PE,1696012830
127,queenstown,-31.8976,26.8753,19.69,27,100,3.38,ZA,1696012830
128,klyuchi,52.2667,79.1667,12.65,63,88,1.4,RU,1696012831
129,whitehorse,60.7161,-135.0538,5.61,95,100,2.57,CA,1696012831
130,ushuaia,-54.8,-68.3,11.81,43,0,6.69,AR,1696012832
131,mirny,62.5353,113.9611,5.13,75,95,0.89,RU,1696012832
132,kingscliff,-28.2667,153.5667,16.89,88,9,2.57,AU,1696012833
133,vichuga,57.2128,41.9301,12.61,69,95,1.84,RU,1696012833
134,ribeira grande,38.5167,-28.7,22.22,94,75,7.2,PT,1696012833
135,port mathurin,-19.6833,63.4167,23.0,64,63,8.89,MU,1696012834
136,lebu,-37.6167,-73.65,13.82,68,0,6.04,CL,1696012834
137,monte alegre,-2.0078,-54.0692,37.26,27,42,3.77,BR,1696012834
138,thompson,55.7435,-97.8558,12.09,76,75,3.6,CA,1696012835
139,katsuura,35.1333,140.3,24.24,85,50,3.87,JP,1696012835
140,haiku-pauwela,20.9219,-156.3051,27.87,65,0,2.06,US,1696012835
141,tazacorte,28.629,-17.9293,24.54,79,75,1.54,ES,1696012836
142,severo-yeniseyskiy,60.3725,93.0408,3.87,93,100,2.36,RU,1696012836
143,awjilah,29.1081,21.2869,26.08,47,5,6.68,LY,1696012836
144,arraial do cabo,-22.9661,-42.0278,21.98,78,75,4.12,BR,1696012837
145,slave lake,55.2834,-114.769,8.99,76,100,2.06,CA,1696012837
146,gadzhiyevo,69.2551,33.3362,10.35,91,100,6.21,RU,1696012837
147,waterford,42.7023,-83.4027,21.11,74,75,0.0,US,1696012606
148,south hedland,-20.4089,118.5983,22.96,88,73,0.0,AU,1696012838
149,kavaratti,10.5669,72.642,27.66,82,45,7.95,IN,1696012838
150,metlili chaamba,32.2667,3.6333,28.52,20,0,3.09,DZ,1696012839
151,hirara,24.8,125.2833,27.92,89,75,3.6,JP,1696012839
152,portland,45.5234,-122.6762,15.99,83,75,3.09,US,1696012398
153,wynne,35.2245,-90.7868,34.24,31,0,2.43,US,1696012530
154,puerto baquerizo moreno,-0.9,-89.6,26.55,69,75,3.09,EC,1696012840
155,kilju,40.9642,129.3278,13.18,72,4,2.02,KP,1696012840
156,sungailiat,-1.85,106.1333,26.13,83,89,3.59,ID,1696012841
157,kodiak,57.79,-152.4072,6.73,93,20,2.06,US,1696012841
158,ahar,38.4774,47.0699,14.86,61,68,2.08,IR,1696012841
159,boyolangu,-8.1181,111.8935,21.99,95,39,1.33,ID,1696012842
160,ancud,-41.8697,-73.8203,12.54,57,0,1.77,CL,1696012842
161,i-n-salah,27.1935,2.4607,32.7,21,0,9.93,DZ,1696012842
162,izluchinsk,60.9794,76.9242,2.22,76,10,5.21,RU,1696012843
163,san julian,21.0167,-102.1667,27.26,24,0,2.76,MX,1696012843
164,les avirons,-21.2418,55.3394,20.05,73,0,2.06,RE,1696012843
165,wynyard,-41.0,145.7167,6.66,82,87,1.58,AU,1696012844
166,andkhoy,36.9529,65.1238,18.04,29,0,2.45,AF,1696012844
167,kabinda,-6.1333,24.4833,24.03,64,98,1.24,CD,1696012844
168,luanda,-8.8368,13.2343,24.0,78,20,5.66,AO,1696012845
169,mao,39.8885,4.2658,23.31,83,0,2.06,ES,1696012826
170,kaffrine,14.1059,-15.5508,30.61,69,50,4.08,SN,1696012846
171,juterbog,51.9833,13.0833,22.88,67,100,0.89,DE,1696012847
172,guarapari,-20.6667,-40.4975,22.16,79,100,3.09,BR,1696012847
173,vicuna,-30.0319,-70.7081,30.43,25,15,3.79,CL,1696012590
174,isangel,-19.55,169.2667,20.17,74,37,4.53,VU,1696012668
175,hithadhoo,-0.6,73.0833,28.18,75,0,6.57,MV,1696012870
176,cabedelo,-6.9811,-34.8339,29.37,70,98,5.91,BR,1696012870
177,saint-philippe,-21.3585,55.7679,21.77,80,50,5.16,RE,1696012871
178,san luis ixcan,15.7872,-91.095,29.17,80,90,1.63,GT,1696012871
179,olonkinbyen,70.9221,-8.7187,2.6,84,100,7.6,SJ,1696012871
180,el porvenir,13.7617,-87.3458,30.63,49,84,1.15,HN,1696012872
181,campo grande,-20.4428,-54.6464,32.75,49,75,3.09,BR,1696012808
182,colares,38.7992,-9.4469,31.92,57,0,5.14,PT,1696012873
183,tindouf,27.6711,-8.1474,34.25,17,62,5.14,DZ,1696012873
184,saint louis,38.6334,-90.4001,31.09,62,20,3.09,US,1696012564
185,new norfolk,-42.7826,147.0587,7.62,96,100,1.43,AU,1696012874
186,susuman,62.7833,148.1667,-4.37,89,100,2.43,RU,1696012874
187,essaouira,31.5125,-9.77,26.72,65,20,2.06,MA,1696012875
188,al ghayzah,16.2079,52.176,26.82,81,1,2.06,YE,1696012875
189,shortandy,51.7006,70.9994,10.97,64,100,1.29,KZ,1696012876
190,juneau,58.3019,-134.4197,8.45,100,100,2.57,US,1696012684
191,tofol,5.3248,163.0078,25.51,91,100,2.26,FM,1696012877
192,celestun,20.8667,-90.4,28.91,74,49,4.43,MX,1696012877
193,nouadhibou,20.931,-17.0347,26.99,57,53,4.63,MR,1696012878
194,pekanbaru,0.5333,101.45,26.18,94,37,0.0,ID,1696012682
195,okhotsk,59.3833,143.3,6.38,90,100,1.51,RU,1696012878
196,alice springs,-23.7,133.8833,13.75,38,40,0.0,AU,1696012839
197,new plymouth,-39.0667,174.0833,8.78,80,100,8.88,NZ,1696012879
198,codrington,-38.2667,141.9667,11.43,60,12,4.8,AU,1696012879
199,rio grande,-32.035,-52.0986,22.06,80,84,6.17,BR,1696012880
200,maryborough,-25.5333,152.7,14.01,96,1,1.34,AU,1696012880
201,pontian kechil,1.4866,103.3896,27.22,87,84,2.0,MY,1696012881
202,la'ie,21.6477,-157.9253,28.36,82,95,3.13,US,1696012881
203,gorzyce,50.6672,21.8401,18.63,86,1,1.56,PL,1696012881
204,al marj,32.488,20.8317,21.35,77,33,4.82,LY,1696012882
205,bad wurzach,47.9,9.9,20.01,77,100,1.79,DE,1696012882
206,magistral'nyy,56.1725,107.4458,6.99,68,72,1.81,RU,1696012883
207,lompoc,34.6391,-120.4579,25.01,70,4,2.24,US,1696012883
208,sosnovo-ozerskoye,52.5249,111.5418,2.73,89,18,1.7,RU,1696012883
209,nikolayevsk-on-amure,53.1406,140.73,9.23,91,98,1.06,RU,1696012884
210,bodo,67.28,14.405,12.65,90,75,2.06,NO,1696012678
211,magadan,59.5667,150.8,5.86,88,100,1.1,RU,1696012884
212,tempio pausania,40.8974,9.1035,18.51,85,0,1.27,IT,1696012885
213,luderitz,-26.6481,15.1594,15.37,70,5,2.33,NA,1696012885
214,murzuq,25.9155,13.9184,29.84,22,6,4.21,LY,1696012885
215,minab,27.1467,57.0801,31.35,53,0,0.85,IR,1696012886
216,ghat,24.9647,10.1728,30.36,21,60,1.28,LY,1696012886
217,fayroz koh,34.5195,65.2509,5.44,50,0,2.39,AF,1696012886
218,port lincoln,-34.7333,135.8667,18.77,35,0,5.86,AU,1696012887
219,isla vista,34.4133,-119.861,25.14,63,100,2.06,US,1696012887
220,ghatanji,20.1333,78.3167,24.09,94,100,1.58,IN,1696012887
221,kolonia,50.9333,6.95,17.76,85,100,5.66,DE,1696012861
222,ko pha ngan,9.7578,100.0291,25.97,68,100,0.3,TH,1696012888
223,howard springs,-12.497,131.047,26.95,72,100,2.07,AU,1696012888
224,riachao das neves,-11.7461,-44.91,38.55,18,8,2.74,BR,1696012889
225,tovuz,40.9922,45.6289,18.08,53,11,1.61,AZ,1696012889
226,belmonte,-15.8631,-38.8828,25.1,74,96,4.99,BR,1696012889
227,talnakh,69.4865,88.3972,-2.66,85,100,4.94,RU,1696012890
228,ilhabela,-23.7781,-45.3581,22.03,72,47,3.92,BR,1696012890
229,port-vila,-17.7338,168.3219,21.9,64,83,7.7,VU,1696012891
230,sa pa,22.3402,103.8441,15.48,96,71,0.54,VN,1696012891
231,aberdeen,57.1437,-2.0981,14.27,70,20,6.17,GB,1696012892
232,mortagne-sur-sevre,46.992,-0.9474,18.26,71,96,2.13,FR,1696012892
233,diamantino,-14.4086,-56.4461,34.13,39,95,1.67,BR,1696012914
234,namibe,-15.1961,12.1522,19.18,87,87,4.68,AO,1696012956
235,hugo,45.16,-92.9933,20.11,88,75,5.14,US,1696012956
236,vorgashor,67.5833,63.95,-0.2,79,97,0.58,RU,1696012957
237,margate,51.3813,1.3862,15.94,68,91,0.45,GB,1696012924
238,minas de marcona,-15.2119,-75.1103,19.86,61,13,6.71,PE,1696012978
239,itaituba,-4.2761,-55.9836,34.09,55,20,2.12,BR,1696012979
240,buala,-8.145,159.5921,26.38,87,100,3.81,SB,1696012979
241,west island,-12.1568,96.8225,24.99,83,40,6.69,CC,1696012979
242,comitancillo,15.0833,-91.7167,22.93,80,100,0.51,GT,1696012982
243,korla,41.7597,86.1469,18.54,33,100,4.97,CN,1696013003
244,markaz-e hukumat-e darweshan,31.1323,64.1934,19.23,18,0,1.97,AF,1696013025
245,taulaga,-11.0553,-171.0883,28.08,74,62,4.93,AS,1696013025
246,el bauga,18.262,33.9081,37.33,15,80,2.96,SD,1696013025
247,salahonda,2.1019,-78.7217,27.12,80,100,5.06,CO,1696013026
248,mount pearl,47.5166,-52.7813,18.58,60,75,7.2,CA,1696013026
249,vanino,49.0869,140.2543,9.17,77,100,1.54,RU,1696013027
250,formosa do rio preto,-11.0483,-45.1931,38.78,15,14,4.63,BR,1696013028
251,irbit,57.6705,63.071,10.09,92,100,1.57,RU,1696013070
252,keelung,25.1283,121.7419,27.81,90,3,3.23,TW,1696013070
253,phek,25.6667,94.5,14.77,98,100,1.13,IN,1696013072
254,khandyga,62.6667,135.6,-1.83,65,50,1.79,RU,1696013073
255,porto sant'elpidio,43.2583,13.7583,21.25,65,0,2.48,IT,1696013073
256,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,93,0,1.0,RU,1696013073
257,vernon,50.2581,-119.2691,11.45,84,100,2.06,CA,1696012947
258,mil'kovo,55.6078,37.7956,17.25,68,100,2.86,RU,1696013074
259,kalach,50.4258,41.0261,16.15,44,23,2.1,RU,1696013075
260,kendari,-3.945,122.4989,21.72,95,58,1.34,ID,1696013075
261,erenhot,43.6475,111.9767,9.84,52,18,3.66,CN,1696013076
262,markovo,57.3206,107.0881,7.57,73,62,2.1,RU,1696013076
263,nar'yan-mar,67.6713,53.087,1.96,78,100,6.32,RU,1696013077
264,villa gesell,-37.2639,-56.973,12.81,68,59,7.26,AR,1696012995
265,naze,28.3667,129.4833,25.51,86,55,0.86,JP,1696013077
266,san carlos,9.6612,-68.5827,31.51,65,100,1.23,VE,1696012816
267,aral,40.5156,81.2636,19.9,27,100,3.23,CN,1696013078
268,simanggang,1.2472,111.4528,25.01,88,100,1.03,MY,1696013078
269,reggane,26.7158,0.1714,32.88,19,0,6.35,DZ,1696013079
270,port elizabeth,-33.918,25.5701,19.5,63,0,3.6,ZA,1696013079
271,as suwayrah,32.9256,44.7758,32.45,18,0,7.04,IQ,1696013079
272,greymouth,-42.4667,171.2,6.66,85,68,2.34,NZ,1696013080
273,porto novo,6.4965,2.6036,24.9,86,100,2.33,BJ,1696012799
274,cannonvale,-20.2833,148.7,21.66,80,3,5.09,AU,1696013080
275,sur,22.5667,59.5289,30.6,34,0,3.59,OM,1696013081
276,chabahar,25.2919,60.643,28.45,66,0,2.49,IR,1696013081
277,mascara,35.3966,0.1403,23.51,63,0,1.89,DZ,1696013082
278,walvis bay,-22.9575,14.5053,13.53,88,0,3.09,NA,1696013082
279,nanzhang chengguanzhen,31.7839,111.8275,19.58,87,93,1.01,CN,1696013082
280,la plata,-34.9215,-57.9545,20.02,63,17,5.3,AR,1696013082
281,santa cruz,-17.8,-63.1667,31.03,35,20,6.17,BO,1696013083
282,nynashamn,58.9034,17.9479,14.5,95,20,5.77,SE,1696013083
283,polyarnyy,69.1989,33.4478,10.5,91,100,5.94,RU,1696013083
284,kapuskasing,49.4169,-82.4331,21.05,37,40,5.66,CA,1696013085
285,belyy yar,53.6039,91.3903,8.94,93,88,1.0,RU,1696013085
286,ribeirao,-8.5144,-35.3778,27.08,64,62,5.07,BR,1696013085
287,dawson creek,55.7666,-120.2362,6.8,100,100,1.54,CA,1696013086
